臺指現			--		--	9,733.05	120.05	0.85	--	9,655.30	9,737.28	9,655.30	9,613.00	09:44:20	
臺指期055		9,758.00	7	9,759.00	26	9,759.00	145.00	1.11	69,248	9,656.00	9,759.00	9,652.00	9,614.00	09:44:24	
臺指期065		9,763.00	6	9,765.00	8	9,764.00	145.00	1.11	1,714	9,658.00	9,764.00	9,657.00	9,619.00	09:44:22	
臺指期095		9,522.00	4	9,526.00	1	9,518.00	133.00	1.04	186	9,422.00	9,520.00	9,422.00	9,385.00	09:44:07	
臺指期125		9,522.00	5	9,527.00	8	9,520.00	135.00	0.96	166	9,430.00	9,520.00	9,430.00	9,385.00	09:43:00	
臺指期036		9,521.00	5	9,526.00	2	9,508.00	123.00	0.88	46	9,425.00	9,508.00	9,425.00	9,385.00	09:39:43	
金融現			--		--	1,182.10	24.77	1.88	--	1,160.76	1,182.50	1,160.76	1,157.33	09:44:20	
金融期055		1,184.60	2	1,184.80	6	1,184.80	30.40	2.46	3,225	1,156.60	1,184.80	1,156.40	1,154.40	09:44:16	
金融期065		1,184.40	3	1,185.00	7	1,184.80	30.60	2.32	99	1,158.00	1,184.80	1,158.00	1,154.20	09:44:10	
金融期095		1,159.20	1	1,163.60	1	1,162.00	34.60	0.35	2	1,158.00	1,162.00	1,158.00	1,127.40	09:39:11	
金融期125		1,149.60	1	1,178.60	1	--	--	--	--				1,123.20		
金融期036		1,149.60	1	1,178.60	1	--	--	--	--				1,119.00		
電子現			--		--	381.54	4.88	0.71	--	379.22	381.91	379.22	376.66	09:44:20	
電子期055		382.30	1	382.35	1	382.35	5.65	1.01	3,025	378.75	382.35	378.55	376.70	09:44:23	
電子期065		382.50	1	382.65	1	382.40	5.25	0.95	74	379.00	382.40	378.80	377.15	09:44:10	
電子期095		367.20	1	374.00	1	--	--	--	--				367.05		
電子期125		352.30	1	385.75	1	--	--	--	--				362.95		
電子期036		352.30	1		--	--	--	--	--				360.35		
臺指50期055		6,901.00	1	7,179.00	1	--	--	--	--				6,994.00		
臺指50期065		6,666.00	3	7,266.00	3	--	--	--	--				6,998.00		
臺指50期095			--		--	--	--	--	--				6,722.00		
臺指50期125			--		--	--	--	--	--				6,731.00		
臺指50期036			--		--	--	--	--	--				6,740.00		
小臺指現			--		--	9,733.05	120.05	0.85	--	9,655.30	9,737.28	9,655.30	9,613.00	09:44:20	
小臺指期W5045		9,748.00	1	9,756.00	4	9,750.00	137.00	1.03	76	9,659.00	9,750.00	9,651.00	9,613.00	09:44:23	
小臺指期055		9,757.00	36	9,759.00	48	9,757.00	143.00	1.11	37,607	9,657.00	9,759.00	9,652.00	9,614.00	09:44:24	
小臺指期065		9,761.00	62	9,764.00	4	9,761.00	142.00	1.10	2,539	9,658.00	9,763.00	9,657.00	9,619.00	09:44:22	
小臺指期095		9,522.00	1	9,525.00	6	9,522.00	137.00	1.03	461	9,425.00	9,522.00	9,425.00	9,385.00	09:44:19	
小臺指期125		9,521.00	1	9,526.00	17	9,520.00	135.00	1.04	321	9,422.00	9,520.00	9,422.00	9,385.00	09:44:16	
小臺指期036		9,520.00	7	9,522.00	1	9,513.00	128.00	1.03	117	9,419.00	9,516.00	9,419.00	9,385.00	09:42:34	
非金電現			--		--	12,051.28	95.79	0.71	--	11,970.15	12,054.94	11,970.15	11,955.49	09:44:20	
非金電期055		12,089	5	12,095	6	12,091	129	0.77	177	12,000	12,092	12,000	11,962	09:44:13	
非金電期065		12,091	7	12,097	5	12,096	121	0.44	15	12,043	12,096	12,043	11,975	09:44:10	
非金電期095		11,642	1	11,887	1	--	--	--	--				11,428		
非金電期125		11,489	1		--	--	--	--	--				11,449		
非金電期036		11,289	1		--	--	--	--	--				11,470		
櫃買現			--		--	144.58	1.73	1.17	--	142.91	144.58	142.91	142.85	09:44:15	
櫃買期055		143.05	2	148.00	1	144.60	1.85	0.21	3	144.30	144.60	144.30	142.75	09:43:14	
櫃買期065		142.25	2	150.00	2	--	--	--	--				142.95		
櫃買期095		136.25	1		--	--	--	--	--				137.15		
櫃買期125			--		--	--	--	--	--				137.35		
櫃買期036			--		--	--	--	--	--				137.55		
臺指現			--		--	9,732.20	119.20	0.85	--	9,655.30	9,737.28	9,655.30	9,613.00	09:44:25	
臺指期055		9,758.00	27	9,760.00	101	9,760.00	146.00	1.12	69,279	9,656.00	9,760.00	9,652.00	9,614.00	09:44:25	
臺指期065		9,763.00	6	9,765.00	8	9,764.00	145.00	1.11	1,714	9,658.00	9,764.00	9,657.00	9,619.00	09:44:22	
臺指期095		9,522.00	4	9,527.00	3	9,518.00	133.00	1.04	186	9,422.00	9,520.00	9,422.00	9,385.00	09:44:07	
臺指期125		9,522.00	6	9,527.00	8	9,520.00	135.00	0.96	166	9,430.00	9,520.00	9,430.00	9,385.00	09:43:00	
臺指期036		9,521.00	5	9,527.00	2	9,508.00	123.00	0.88	46	9,425.00	9,508.00	9,425.00	9,385.00	09:39:43	
金融現			--		--	1,182.15	24.82	1.88	--	1,160.76	1,182.50	1,160.76	1,157.33	09:44:25	
金融期055		1,184.40	2	1,184.80	6	1,184.80	30.40	2.46	3,225	1,156.60	1,184.80	1,156.40	1,154.40	09:44:16	
金融期065		1,184.40	1	1,185.00	7	1,184.80	30.60	2.32	99	1,158.00	1,184.80	1,158.00	1,154.20	09:44:10	
金融期095		1,159.00	2	1,163.60	1	1,162.00	34.60	0.35	2	1,158.00	1,162.00	1,158.00	1,127.40	09:39:11	
金融期125		1,149.40	1	1,178.60	1	--	--	--	--				1,123.20		
金融期036		1,149.40	1	1,178.60	1	--	--	--	--				1,119.00		
電子現			--		--	381.52	4.86	0.71	--	379.22	381.91	379.22	376.66	09:44:25	
